timestamp,mae,rmse
2025-01-17 14:22:57,4.629545454545452,5.308086766808444
2025-01-17 14:28:03,12.168181818181822,14.65408101342161
2025-01-17 15:02:18,14.354398148148146,16.670059145473367
2025-01-17 15:03:23,14.354398148148146,16.670059145473367
2025-01-17 15:05:17,12.814747474747476,16.65879648616038
2025-01-17 15:09:00,3.3245447546945193,4.042113373506263
2025-01-17 21:53:53,3.3245447546945193,4.042113373506263
2025-01-18 09:32:26,3.651832805688691,4.733903359426701
2025-01-18 09:59:58,3.651832805688693,4.733903359426701
2025-01-18 10:09:09,3.6432245457764525,4.711732242524603
2025-01-18 10:10:02,3.651832805688693,4.733903359426701
2025-01-18 10:18:40,3.651832805688693,4.733903359426701
2025-01-18 10:24:39,3.651832805688693,4.733903359426701
2025-01-18 10:26:38,3.651832805688693,4.733903359426701
